Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
LTH,"Life Time Group Holdings, Inc. Common Stock",42.15,90.2,-1.6,36.14,30.33,29.24,42.84,24.59
TOI,"The Oncology Institute, Inc. - Common Stock",5.35,90.1,-14.8,4.92,3.8,3.78,6.28,2.38
FSTR,L.B. Foster Company - Common Stock,41.93,90.1,-7.2,41.66,33.6,31.88,45.17,22.08
USEA,United Maritime Corporation - Common Stock,2.52,90.0,-6.0,2.47,2.03,1.88,2.68,1.3
UFCS,"United Fire Group, Inc - Common Stock",51.09,90.0,-5.3,48.52,41.04,39.05,53.93,25.74
LNTH,"Lantheus Holdings, Inc. - Common Stock",107.59,90.0,-3.0,101.46,82.74,76.0,110.94,50.11
RAL,Ralliant Corporation Common Stock,70.17,89.9,-4.7,64.02,52.72,50.88,73.63,38.32
VTRS,Viatris Inc. - Common Stock,17.29,89.9,-0.2,16.32,14.5,13.42,17.33,8.41
YOU,"Clear Secure, Inc. Class A Common Stock",56.03,89.9,-9.9,55.55,46.69,43.18,62.18,28.34
TRGP,"Targa Resources, Inc. Common Stock",282.91,89.9,0.0,266.94,233.64,215.74,282.91,143.89
CON,"Concentra Group Holdings Parent, Inc. Common Stock",31.61,89.9,-0.9,27.65,23.75,22.8,31.91,18.56
CMTV,Community Bancorp.  - Common stock,39.44,89.8,-5.1,38.79,33.84,31.0,41.55,19.45
OUT,OUTFRONT Media Inc. Common Stock,33.21,89.8,-1.8,32.12,28.16,25.92,33.81,15.95
RELL,"Richardson Electronics, Ltd. - Common Stock",17.18,89.7,-9.6,17.04,13.62,12.82,19.01,9.29
HCSG,"Healthcare Services Group, Inc. - Common Stock",25.31,89.6,0.0,22.41,20.66,19.88,25.31,12.69
FVR,"FrontView REIT, Inc. Common Stock",21.92,89.5,0.0,19.08,16.91,16.07,21.92,10.69
FNKO,"Funko, Inc. - Class A Common Stock",5.82,89.5,-1.2,5.36,4.38,4.07,5.89,2.46
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",26.7,89.5,-0.6,24.15,21.45,20.19,26.86,13.31
BVS,Bioventus Inc. - Class A Common Stock,12.06,89.4,-3.0,9.96,9.04,8.55,12.43,6.14
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),396.87,89.4,-1.5,373.18,323.41,298.03,403.03,192.65
GKOS,Glaukos Corporation Common Stock,156.83,89.4,-0.0,134.45,121.55,113.63,156.84,74.67
